iter;Initial storage utilization;Loading docks number;Unloading docks number;Forklifts number;palletTypesNum;Objective Value
272;0;5;3;30;2;66.12
273;0;6;5;43;2;100.341
274;0;6;1;24;1;48.897
275;0.6;7;2;11;10;95.971
276;0.3;5;1;24;3;83.605
277;0.9;1;4;36;2;68.265
278;0.8;2;3;11;8;84.675
279;0;7;1;28;1;45.094
280;0.7;7;2;23;12;104.159
281;0.9;4;5;23;11;92.946
282;0;6;1;17;1;48.532
283;0;7;1;27;1;45.492
284;0.6;1;5;41;12;65.768
285;0;7;1;20;1;45.443
286;0.6;4;1;28;13;85.296
287;0.3;4;3;19;5;88.978
288;0.1;2;2;12;1;79.718
289;0.7;1;2;40;12;65.733
290;0.1;3;1;20;8;75.419
291;0.9;4;4;20;14;99.511
292;0.7;1;3;10;14;89.71
293;0.1;2;2;29;8;67.157
294;0.2;4;5;39;14;89.847
295;1;3;2;19;11;87.177
296;0.1;1;2;40;1;65.399
297;0.9;1;4;18;14;65.708
298;1;2;4;25;5;75.205
299;0.3;6;3;42;3;102.905
300;0.4;2;4;10;7;81.899
301;0.5;6;4;21;6;88.848
302;0.6;3;4;11;13;92.395
303;0;6;1;22;1;48.614
304;1;6;2;13;9;119.647
305;0.9;6;2;24;5;114.748
306;0.3;3;2;25;5;85.72
307;0.1;1;1;40;1;64.337
308;0.1;1;2;37;1;65.543
309;0.2;1;3;34;3;65.235
310;0.4;4;4;29;12;93.568
311;0;6;2;17;6;68.014
312;0.8;3;1;12;15;105.205
313;0.7;7;2;12;5;93.75
314;0.9;2;2;38;7;66.959
315;0.4;7;4;17;11;105.294
316;0;5;1;26;1;51.058
317;0;5;1;23;1;50.809
318;0.1;1;5;24;2;66.497
319;0.4;3;5;36;10;87.585
320;0.8;4;1;18;4;96.302
321;0.9;2;2;13;14;87.538
322;0.8;4;3;41;2;75.822
323;0.3;2;2;38;3;67.669
324;0.1;7;4;34;12;122.436
325;0.6;5;5;36;14;105.413
326;0.6;2;4;27;10;76.719
327;0.4;1;4;11;12;77.029
328;0.9;2;1;20;4;66.702
329;0.8;5;2;24;12;102.2
330;0;5;1;22;1;50.814
331;0.5;7;5;28;11;95.079
332;0.1;7;5;24;4;97.481
333;0.7;7;4;37;3;122.547
334;0.1;5;3;39;14;90.876
335;1;4;5;14;9;88.32
336;0.1;7;3;12;10;91.72
337;0.4;4;4;12;5;87.458
338;0.5;6;2;30;15;107.763
339;0.3;6;1;18;2;105.5
340;0.7;3;4;28;3;89.153
341;0.1;4;3;11;2;86.133
342;0;3;2;35;12;70.475
343;0;6;4;29;3;85.501
344;0.3;4;2;11;16;90.177
345;0.7;3;5;34;12;73.102
346;0.9;4;3;36;13;80.137
347;0.6;6;1;41;16;93.074
348;0.1;5;1;21;2;66.205
349;0;1;3;35;6;64.67
350;0.3;5;1;19;2;79.115
351;0.5;6;1;28;7;97.394
352;0.1;3;3;15;16;85.775
